,San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West)
0,0,0,0,0,1,0
1,7,8,5,3,2,2
2,6,6,5,3,2,1
3,6,6,6,3,3,1
4,5,5,6,3,3,2
5,7,7,4,3,2,2
6,6,7,5,3,3,2
7,7,7,5,4,2,1
8,5,5,5,3,3,2
9,6,6,5,3,3,1
10,5,5,5,4,2,1
11,6,6,6,3,2,2
12,6,5,5,3,2,2
13,6,7,5,3,3,3
14,7,5,5,3,2,2
15,7,6,6,4,2,0
16,6,6,6,4,3,2
17,8,6,5,3,2,2
18,5,5,5,4,2,3
19,6,6,8,4,2,1
20,5,5,5,3,3,3
21,6,6,6,3,2,2
22,9,6,4,3,4,2
23,7,6,5,3,2,1
24,6,6,6,4,3,2
25,5,5,5,3,2,0
26,6,6,6,4,2,1
27,6,6,4,5,3,1
28,7,5,5,3,2,1
29,7,6,5,3,2,1
30,5,5,5,3,3,1
31,6,6,5,3,2,2
32,7,6,5,4,2,1
33,5,5,5,3,3,2
34,6,6,5,5,2,1
35,6,6,5,5,2,2
36,10,6,5,3,3,3
37,7,8,4,3,2,1
38,6,7,5,3,3,1
39,8,5,6,3,2,1
40,6,6,5,3,2,1
41,6,6,6,3,3,2
42,6,6,7,4,2,2
43,5,5,5,3,2,1
44,6,7,5,4,3,2
45,8,6,4,3,2,2
46,8,6,6,4,3,2
47,8,5,5,3,3,1
48,8,5,6,3,2,3
49,6,6,5,4,2,1
50,5,5,5,3,3,1
51,6,6,6,4,2,1
52,5,5,4,3,2,2
53,6,6,7,4,2,2
54,5,5,5,3,3,2
55,5,5,5,3,2,2
56,7,6,5,3,3,1
57,7,5,5,3,2,0
58,6,6,6,3,2,1
59,5,5,4,3,3,2
60,7,6,5,4,2,3
61,5,5,5,3,3,1
62,6,6,6,3,3,2
63,5,5,5,3,3,1
64,6,6,5,3,3,2
65,5,5,5,3,2,1
66,5,5,5,3,3,1
67,6,6,5,4,2,1
68,6,6,5,3,2,2
69,6,6,6,4,3,2
70,5,5,5,3,3,2
71,6,6,5,3,2,1
72,5,5,5,3,2,1
73,7,6,5,4,3,3
74,5,5,5,4,2,1
75,7,6,5,3,2,3
76,5,6,5,3,2,2
77,6,6,5,3,3,2
78,5,5,5,3,3,1
79,6,6,5,3,2,2
80,7,7,5,4,2,2
81,6,6,5,4,3,1
82,6,6,5,4,3,2
83,8,5,5,3,2,2
84,7,6,5,3,3,1
85,5,5,5,3,2,1
86,6,6,4,4,2,1
87,6,6,7,3,4,1
88,5,5,5,3,3,2
89,6,6,5,3,2,2
90,7,6,5,3,3,2
91,5,5,5,3,2,1
92,6,6,6,4,3,2
93,5,5,5,3,2,1
94,7,8,5,3,2,1
95,10,5,4,3,3,1
96,5,7,5,3,3,2
97,6,6,5,3,3,1
98,7,6,6,4,2,1
99,6,6,5,3,2,2
100,7,4,5,3,3,1
101,7,6,5,3,2,2
102,5,5,5,3,2,2
103,6,6,5,3,3,1
104,6,6,5,3,2,2
105,5,5,5,3,3,2
106,6,7,5,3,3,2
107,5,5,4,3,2,1
108,6,6,5,4,3,1
109,6,8,6,3,2,1
110,5,5,5,3,2,1
111,7,7,5,3,3,3
112,7,7,5,4,2,3
113,5,5,4,3,3,1
114,6,6,5,3,2,1
115,5,5,5,3,2,2
116,6,6,6,3,4,2
117,5,5,5,3,2,3
118,6,6,5,4,3,2
119,6,6,5,3,2,1
120,7,6,5,3,3,1
121,6,6,5,4,3,2
122,5,5,5,3,2,2
123,5,5,5,3,4,2
124,6,6,5,3,2,3
125,6,6,6,3,3,1
126,6,6,5,4,2,0
127,6,5,8,3,3,2
128,6,7,5,3,2,2
129,6,6,5,3,2,2
130,6,5,5,3,3,1
131,6,6,5,3,2,2
132,6,6,5,3,3,1
133,6,5,5,4,2,1
134,6,7,5,3,2,2
135,8,6,5,3,3,2
136,6,6,5,3,4,1
137,6,6,5,3,3,1
138,8,6,5,4,2,2
139,6,6,5,3,4,2
140,5,5,5,3,2,3
141,6,6,6,3,3,1
142,5,5,6,3,3,1
143,5,5,7,3,2,1
144,8,6,5,3,2,2
145,6,5,5,3,3,1
146,6,6,5,4,2,2
147,5,5,5,3,3,2
148,6,6,5,3,4,2
149,5,5,5,4,3,1
150,6,6,5,3,2,3
151,5,5,5,3,2,1
152,6,6,5,3,3,1
153,6,6,5,3,3,1
154,7,5,5,3,2,2
155,6,8,5,4,2,2
156,6,5,6,3,3,1
157,6,6,5,3,2,2
158,5,5,5,4,2,1
159,6,6,5,3,2,2
160,5,5,5,3,3,2
161,6,6,5,3,2,2
162,5,5,5,4,2,1
163,6,6,5,3,3,3
164,7,6,4,3,2,1
165,5,5,7,3,3,3
166,6,6,6,4,3,1
167,5,5,5,3,3,2
168,6,6,5,4,2,1
169,5,5,5,3,4,2
170,7,6,5,3,4,2
171,6,6,6,3,2,1
172,5,5,4,3,3,3
173,6,6,5,3,2,1
174,6,6,5,3,3,3
175,5,5,5,4,2,1
176,7,6,5,3,3,1
177,7,6,5,3,3,1
178,6,5,5,3,3,2
179,7,6,5,3,2,1
180,6,6,5,3,3,2
181,6,6,6,4,2,1
182,7,6,7,3,3,2
183,8,6,5,3,3,1
184,6,6,5,4,2,3
185,9,5,5,3,2,1
186,6,6,5,3,2,3
187,6,7,5,4,3,1
188,6,6,5,4,2,2
189,6,6,4,3,3,1
190,6,8,6,3,2,2
191,5,5,5,4,2,2
192,6,6,6,3,2,1
193,5,5,4,3,2,2
194,6,6,6,3,3,1
195,7,5,5,3,3,1
196,7,8,5,4,2,1
197,7,7,4,3,3,2
198,6,6,5,3,3,2
199,6,6,6,3,2,1
200,8,10,5,4,2,1
201,6,6,5,3,3,1
202,5,5,5,3,3,1
203,5,5,5,3,2,1
204,6,6,5,3,2,3
205,7,7,6,3,2,1
206,6,5,5,3,3,2
207,7,7,4,4,2,3
208,7,5,5,3,2,1
209,5,5,5,4,3,3
210,8,8,5,4,3,2
211,5,5,5,3,3,2
212,6,6,5,3,2,2
213,7,5,5,3,3,1
214,8,6,4,4,3,2
215,5,5,5,3,2,2
216,6,6,5,3,2,1
217,6,5,5,4,3,2
218,7,6,5,3,3,1
219,7,6,5,3,2,2
220,5,5,5,3,3,2
221,6,10,6,4,3,2
222,6,9,5,3,2,1
223,6,6,5,3,3,1
224,6,6,5,3,2,2
225,6,6,5,4,2,2
226,7,6,5,3,2,2
227,5,5,6,3,3,1
228,7,6,4,4,2,3
229,7,6,5,3,3,2
230,8,5,5,3,2,1
231,5,5,5,3,3,3
232,6,8,5,4,2,1
233,5,5,5,3,2,3
234,6,6,5,3,3,1
235,6,6,6,3,2,2
236,6,5,5,3,3,1
237,6,6,5,4,2,1
238,5,5,5,3,2,1
239,6,6,6,4,4,1
240,6,6,5,4,2,2
241,6,6,7,5,4,1
242,5,5,5,3,2,1
243,5,5,5,4,2,3
244,6,6,5,3,3,3
245,6,6,5,4,2,1
246,7,5,5,3,2,2
247,5,7,4,4,3,1
248,7,9,6,5,4,1
249,5,5,4,3,2,2
250,6,6,5,3,2,2
251,5,5,8,3,3,2
252,6,6,5,3,2,2
253,6,6,6,4,2,2
254,7,5,5,3,3,2
255,6,6,5,3,2,1
256,6,6,5,3,2,1
257,6,6,5,3,3,1
258,5,5,5,4,3,2
259,7,6,5,3,2,0
260,6,6,5,3,3,2
261,5,5,5,3,3,2
262,6,6,5,4,2,1
263,6,5,5,3,2,2
264,6,6,6,3,3,1
265,6,5,4,3,2,2
266,7,6,5,3,3,1
267,8,6,6,4,2,1
268,5,7,4,3,2,1
269,7,8,5,3,2,2
270,6,6,5,3,2,1
271,7,6,6,3,3,3
272,6,6,4,3,2,1
273,5,5,5,4,3,2
274,6,6,5,3,3,3
275,5,5,5,3,2,1
276,6,6,5,4,3,2
277,5,5,5,3,2,2
278,6,6,5,3,4,1
279,8,6,5,4,2,3
280,6,6,5,3,2,1
281,5,5,4,3,2,3
282,6,6,5,3,3,1
283,6,5,5,3,2,1
284,9,6,5,3,3,1
285,6,6,6,4,2,1
286,5,5,5,4,3,2
287,5,5,6,3,2,2
288,6,6,6,3,2,1
289,6,6,8,3,3,1
290,5,5,5,4,2,2
291,5,5,5,3,2,1
292,6,6,5,3,3,1
293,5,5,5,4,2,3
294,6,6,5,3,2,2
295,6,6,5,4,2,2
296,6,8,5,3,3,1
297,5,5,4,3,2,0
298,6,6,6,3,3,1
299,6,6,4,3,2,2
300,6,6,5,3,2,2
301,5,7,5,3,3,1
302,8,7,6,3,2,3
303,7,5,4,3,3,1
304,5,8,5,3,2,1
305,6,6,5,3,2,2
306,5,5,5,3,2,3
307,7,6,5,3,3,2
308,8,6,5,4,3,2
309,6,6,5,3,3,1
310,7,7,5,3,2,1
311,6,6,5,3,3,2
312,8,5,5,3,2,2
313,7,6,8,4,3,1
314,5,5,5,3,2,2
315,5,5,5,3,3,1
316,6,7,5,4,2,3
317,10,6,5,3,3,1
318,8,6,5,3,2,2
319,7,7,4,3,2,2
320,6,8,6,3,4,2
321,10,6,5,3,2,2
322,5,5,5,4,3,2
323,6,6,5,3,2,1
324,5,5,5,3,3,1
325,6,6,6,3,2,1
326,5,5,5,3,3,1
327,6,6,5,4,3,1
328,5,5,5,3,3,1
329,8,6,5,3,2,2
330,7,9,5,3,2,2
331,6,5,5,3,2,1
332,6,6,5,3,3,3
333,5,7,5,4,3,2
334,6,6,5,3,2,2
335,5,5,5,3,2,2
336,6,6,5,3,3,2
337,6,6,6,4,2,2
338,6,5,4,3,2,1
339,6,6,6,3,4,2
340,6,7,5,3,2,0
341,8,7,5,3,2,1
342,5,5,5,4,3,2
343,6,8,5,3,2,2
344,6,8,5,3,4,3
345,7,6,4,4,3,2
346,5,7,5,3,2,1
347,6,8,5,3,3,3
348,11,6,5,3,2,2
349,8,5,5,3,2,1
350,5,5,5,3,2,2
351,6,6,5,4,3,2
352,10,6,5,3,2,2
353,9,5,6,3,2,1
354,7,6,5,3,3,2
355,5,5,5,3,2,1
356,6,6,5,3,3,1
357,6,6,5,4,2,2
358,6,6,5,2,3,1
359,6,7,5,4,2,2
360,5,5,6,3,2,1
361,6,6,6,3,3,2
362,7,6,5,3,2,1
363,6,5,5,3,2,2
364,6,6,5,3,3,1
365,6,7,5,3,2,3
366,6,5,5,4,2,2
367,7,6,5,3,2,1
368,6,6,5,4,3,2
369,6,5,5,3,3,1
370,7,6,5,3,2,3
371,5,6,5,3,2,1
372,6,6,5,4,2,2
373,7,6,5,3,2,2
374,7,5,5,3,3,1
375,6,6,5,3,2,2
376,5,5,5,3,2,1
377,6,6,6,4,3,2
378,5,5,5,3,3,0
379,7,5,5,3,2,2
380,6,6,5,4,3,2
381,6,6,6,3,2,2
382,5,5,5,4,2,1
383,6,6,5,3,3,2
384,5,5,5,3,2,1
385,7,6,5,3,4,1
386,6,6,6,3,2,2
387,5,5,4,4,2,3
388,6,6,5,3,2,1
389,6,6,5,3,3,2
390,5,5,5,4,2,2
391,6,6,6,3,3,2
392,5,5,5,4,4,2
393,6,6,5,3,2,2
394,6,6,5,3,2,2
395,5,5,5,3,2,2
396,6,6,6,3,3,2
397,6,6,5,4,2,0
398,5,5,5,4,3,2
399,7,6,5,4,3,1
400,5,5,7,3,2,1
401,6,6,5,3,2,1
402,6,6,5,3,3,1
403,7,7,5,3,2,1
404,8,7,6,4,2,1
405,8,5,5,3,3,2
406,7,6,5,4,2,3
407,8,7,5,3,2,1
408,9,6,5,3,3,2
409,7,6,5,3,3,1
410,7,6,6,3,4,1
411,6,6,4,3,2,1
412,8,6,5,3,2,1
413,6,6,6,4,3,2
414,6,5,4,3,2,1
415,6,6,5,4,2,2
416,6,6,5,4,2,1
417,5,5,4,3,3,2
418,6,6,5,3,3,2
419,6,6,5,4,2,1
420,7,5,5,3,3,2
421,6,6,5,3,3,2
422,9,5,6,3,3,1
423,8,6,5,3,2,3
424,5,5,5,4,3,1
425,6,6,5,3,2,2
426,5,5,5,4,2,2
427,6,6,5,3,3,1
428,8,6,4,3,3,1
429,7,5,5,3,2,0
430,5,5,6,3,3,2
431,6,8,5,3,3,1
432,6,6,5,3,2,2
433,7,6,5,4,3,1
434,9,5,5,4,3,3
435,6,6,6,3,4,1
436,5,5,5,4,3,1
437,6,6,5,3,2,0
438,7,6,6,3,3,1
439,5,5,5,4,3,2
440,5,5,5,3,4,1
441,7,6,5,3,2,2
442,6,6,5,3,2,0
443,6,6,5,3,3,2
444,6,6,5,3,2,2
445,5,5,5,4,3,1
446,6,6,5,3,2,2
447,6,5,5,3,2,1
448,10,6,5,3,4,2
449,5,7,5,4,2,1
450,6,6,5,3,2,1
451,6,6,6,3,3,2
452,8,5,5,3,2,1
453,6,6,5,4,2,2
454,6,6,5,3,3,1
455,5,5,5,3,2,2
456,6,6,6,3,3,1
457,5,5,4,4,2,0
458,6,6,6,3,3,1
459,5,5,5,3,3,2
460,6,6,5,4,2,2
461,6,5,5,3,2,2
462,5,6,5,4,3,1
463,6,6,5,3,2,2
464,5,5,5,3,3,2
465,6,6,6,3,2,3
466,5,5,4,3,3,1
467,6,7,6,3,2,2
468,8,7,6,3,2,4
469,5,5,5,4,4,1
470,6,6,6,3,3,2
471,5,5,4,3,3,2
472,6,6,6,3,2,2
473,9,6,5,4,2,2
474,6,6,5,3,3,1
475,5,5,5,3,2,2
476,6,6,5,3,2,1
477,6,5,5,3,3,3
478,6,6,5,3,3,2
479,6,6,4,4,2,1
480,9,6,6,3,3,2
481,5,5,5,4,2,2
482,6,6,5,3,2,2
483,5,5,4,3,3,2
484,6,6,5,4,2,2
485,6,6,6,3,2,2
486,6,6,7,3,3,2
487,5,5,5,3,3,1
488,6,6,6,3,2,2
489,5,5,5,3,2,1
490,6,6,5,3,3,1
491,5,5,5,4,3,1
492,5,5,5,3,2,0
493,6,6,6,3,3,1
494,5,5,5,3,3,2
495,5,5,4,3,2,0
496,6,6,6,4,3,2
