,San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West)
497,5,5,5,3,2,2
498,8,6,5,3,2,1
499,10,6,5,4,2,1
500,7,6,5,3,3,2
501,6,5,5,3,2,1
502,9,6,5,3,3,2
503,7,5,5,4,2,2
504,6,6,6,3,2,2
505,7,6,5,4,3,2
506,6,6,6,3,2,1
507,5,5,5,3,2,2
508,6,9,5,3,2,1
509,6,10,5,4,4,1
510,6,6,6,4,3,2
511,6,5,4,3,3,1
512,6,6,5,3,3,3
513,5,5,5,3,2,1
514,6,6,5,3,3,2
515,7,6,5,3,2,1
516,5,5,5,4,2,1
517,6,6,5,3,2,2
518,5,5,5,3,3,2
519,6,6,5,4,2,2
520,6,6,5,3,3,2
521,8,6,5,3,3,2
522,5,5,5,3,2,2
523,6,6,5,3,2,1
524,5,5,5,3,3,2
525,5,5,5,3,2,2
526,6,6,5,4,3,1
527,6,6,6,3,2,2
528,6,6,5,3,2,2
529,5,5,5,3,3,1
530,6,6,5,3,2,1
531,6,8,6,4,2,1
532,5,5,5,3,3,1
533,6,6,5,3,3,3
534,6,5,4,3,2,1
535,6,6,6,4,2,2
536,5,5,4,3,3,2
537,6,6,6,3,2,2
538,6,5,5,4,3,2
539,6,6,5,3,2,2
540,6,6,5,4,3,2
541,7,5,5,3,2,2
542,9,6,9,3,3,0
543,5,5,5,3,2,1
544,6,6,5,3,3,2
545,8,5,6,4,3,2
546,8,6,5,3,3,2
547,6,6,5,3,3,2
548,5,5,5,3,2,2
549,6,5,5,4,2,2
550,7,7,5,3,3,2
551,5,6,5,3,3,2
552,6,7,5,4,3,2
553,7,6,6,3,2,2
554,5,5,4,4,2,2
555,6,6,6,3,3,2
556,7,5,5,3,3,1
557,6,6,5,3,3,2
558,7,6,5,3,3,1
559,6,7,5,4,2,2
560,6,6,5,3,3,1
561,9,5,4,3,3,2
562,6,6,5,3,3,2
563,6,6,6,3,3,1
564,5,5,4,4,2,2
565,8,6,5,4,3,2
566,5,5,5,3,2,2
567,6,6,5,3,2,2
568,5,5,5,3,2,2
569,9,5,5,3,3,2
570,9,6,5,3,3,1
571,6,6,5,4,2,1
572,5,5,5,3,3,1
573,7,7,5,3,3,2
574,6,6,5,3,2,1
575,6,7,6,3,3,2
576,6,5,4,3,2,2
577,7,7,5,3,3,0
578,5,5,5,4,2,2
579,7,6,6,3,2,2
580,5,5,5,3,2,1
581,6,6,5,3,3,1
582,5,5,5,3,2,2
583,6,6,6,3,3,1
584,5,6,4,3,2,3
585,8,7,6,4,2,1
586,5,5,5,3,4,3
587,8,6,5,4,3,1
588,7,7,6,3,3,2
589,7,6,5,3,2,1
590,6,8,6,4,3,1
591,9,6,6,3,2,2
592,9,5,5,4,3,3
593,6,5,5,3,3,2
594,6,6,5,3,2,2
595,6,6,5,3,3,2
596,6,6,5,3,3,1
597,6,6,6,3,3,2
598,6,6,5,4,2,1
599,7,6,5,3,3,3
600,5,5,5,3,2,1
601,6,6,5,3,2,1
602,5,5,6,3,3,1
603,7,6,5,4,2,2
604,7,6,5,3,4,3
605,6,6,6,4,4,2
606,9,5,5,3,2,1
607,7,8,4,3,2,2
608,10,5,5,4,2,2
609,6,6,5,4,3,2
610,6,6,5,3,2,1
611,6,5,5,3,3,2
612,6,6,5,3,2,2
613,5,5,5,3,3,2
614,7,7,5,4,2,2
615,6,6,5,3,3,1
616,6,6,6,3,2,2
617,5,5,4,3,3,1
618,7,5,5,3,2,1
619,6,6,5,3,3,0
620,6,5,5,3,3,2
621,6,6,5,4,2,1
622,6,5,5,3,2,3
623,6,6,5,3,3,2
624,5,5,5,3,4,1
625,6,6,4,4,2,2
626,6,7,5,3,3,3
627,10,7,5,3,2,1
628,7,10,5,3,2,2
629,9,9,5,5,3,1
630,10,6,6,3,3,2
631,6,6,5,3,3,1
632,6,6,6,5,2,2
633,6,6,5,3,3,2
634,8,5,5,3,2,1
635,8,8,6,3,3,2
636,9,7,6,3,2,3
637,7,6,5,4,3,1
638,5,5,4,3,2,2
639,6,6,6,3,3,1
640,5,5,4,3,2,2
641,6,6,5,3,3,2
642,6,7,6,4,2,1
643,7,7,4,3,3,2
644,6,5,5,3,2,0
645,7,6,5,3,2,2
646,6,6,5,3,3,2
647,6,6,5,3,2,1
648,6,6,5,3,4,2
649,5,5,5,4,2,2
650,6,6,5,3,4,2
651,7,6,5,3,2,2
652,8,5,5,4,2,2
653,7,7,5,3,3,2
654,8,6,5,4,2,3
655,6,6,5,3,3,1
656,5,5,5,3,2,3
657,6,6,8,3,2,1
658,5,5,7,3,3,2
659,7,6,5,4,2,1
660,6,6,6,3,3,1
661,7,6,5,4,2,1
662,7,6,5,3,2,2
663,6,5,5,3,3,2
664,6,6,5,3,2,2
665,5,5,5,4,2,1
666,6,6,5,3,3,2
667,5,5,5,4,3,1
668,6,6,5,3,2,0
669,6,6,5,4,3,2
670,7,6,6,3,2,2
671,5,5,4,5,3,1
672,5,5,5,3,2,1
673,6,6,6,3,3,2
674,6,5,5,3,3,2
675,5,5,4,3,2,1
676,6,6,5,4,2,2
677,5,6,5,4,3,1
678,8,6,5,4,2,2
679,7,6,5,3,3,2
680,7,6,6,3,2,1
681,7,6,6,4,2,3
682,7,6,5,3,3,1
683,5,5,5,3,3,2
684,9,7,5,3,2,1
685,6,6,5,3,3,2
686,6,7,6,3,3,1
687,8,5,4,3,3,1
688,7,6,5,3,2,1
689,5,5,5,4,3,2
690,6,6,5,3,2,3
691,5,5,5,3,3,2
692,7,6,5,3,2,1
693,6,6,5,4,2,2
694,6,6,5,3,3,1
695,5,5,5,4,2,3
696,6,6,6,3,2,2
697,6,6,6,3,3,1
698,5,5,5,3,2,2
699,6,6,5,3,3,1
700,6,6,5,3,2,2
701,5,5,5,3,2,1
702,6,6,4,4,3,2
703,6,5,6,3,2,2
704,5,5,5,3,3,2
705,6,6,5,3,2,3
706,8,10,5,4,2,2
707,5,5,5,3,3,2
708,6,6,6,4,2,2
709,9,8,5,3,2,2
710,6,6,5,4,3,2
711,7,6,6,3,2,1
712,7,7,5,3,3,1
713,6,6,5,4,2,1
714,6,6,5,3,2,2
715,5,5,5,3,3,2
716,6,6,5,4,2,1
717,6,6,7,3,2,2
718,5,5,5,3,3,2
719,6,6,5,3,2,2
720,6,6,6,4,2,1
721,5,5,5,3,3,1
722,5,5,5,3,2,2
723,6,6,5,3,3,1
724,5,5,5,4,2,0
725,6,6,5,3,2,1
726,6,6,4,3,3,1
727,9,7,5,3,2,2
728,8,6,5,3,2,2
729,7,6,5,3,2,2
730,9,9,5,4,3,0
731,6,5,5,3,2,2
732,8,6,5,3,3,1
733,5,5,5,3,3,3
734,6,6,5,4,2,1
735,5,5,5,3,2,2
736,6,6,5,3,3,2
737,6,6,5,3,2,1
738,5,5,5,4,2,2
739,6,6,5,3,3,2
740,6,6,5,3,2,2
741,6,6,5,3,2,1
742,6,8,5,3,3,2
743,5,6,5,4,2,1
744,9,6,4,3,3,2
745,6,5,5,3,3,1
746,5,5,5,4,2,1
747,6,6,5,4,2,3
748,6,6,5,3,3,1
749,6,6,5,4,2,0
750,6,6,5,3,3,2
751,5,5,5,3,2,2
752,6,6,5,4,2,1
753,6,6,6,3,2,2
754,6,6,5,3,3,1
755,5,7,5,3,3,1
756,11,6,7,3,3,1
757,6,6,5,3,2,1
758,5,5,5,3,2,2
759,7,6,6,3,3,2
760,5,5,5,4,2,1
761,6,6,7,3,2,1
762,6,7,5,4,2,1
763,6,5,5,3,3,1
764,7,6,5,4,2,2
765,5,5,4,3,3,2
766,6,6,7,3,2,1
767,5,5,4,3,3,2
768,6,6,5,3,2,1
769,5,5,6,3,3,2
770,7,6,5,3,2,2
771,6,6,4,3,3,1
772,5,5,6,5,2,3
773,6,6,5,2,3,1
774,5,5,5,3,2,1
775,6,6,5,4,2,3
776,6,6,5,3,3,2
777,5,5,6,3,2,2
778,8,5,5,4,2,1
779,8,6,5,3,2,1
780,5,5,5,3,3,3
781,7,6,5,3,2,1
782,6,6,5,3,3,1
783,5,5,4,3,2,1
784,6,6,5,3,3,1
785,6,6,5,4,2,3
786,6,6,5,3,3,1
787,5,5,5,4,4,1
788,5,5,5,3,2,2
789,6,6,5,4,3,2
790,7,6,6,3,2,2
791,5,5,5,3,3,2
792,6,6,5,3,3,2
793,5,5,6,3,3,1
794,6,6,5,3,2,1
795,5,5,5,3,2,2
796,8,7,5,3,3,1
797,5,5,7,4,2,2
798,6,6,5,3,3,1
799,5,5,5,3,2,3
800,7,6,5,3,3,1
801,6,6,5,3,2,2
802,7,7,5,3,2,2
803,6,7,5,3,3,1
804,7,5,5,5,2,2
805,7,5,6,4,2,1
806,6,6,7,3,3,1
807,5,5,5,3,3,2
808,6,6,6,4,2,1
809,6,6,5,3,3,1
810,5,5,5,4,3,1
811,7,6,5,3,2,2
812,7,7,5,3,2,2
813,6,6,5,3,2,2
814,7,6,6,4,3,1
815,6,10,6,3,2,1
816,8,8,5,3,3,2
817,9,5,6,3,3,1
818,9,7,5,4,2,3
819,7,7,5,4,3,1
820,11,7,5,3,2,1
821,5,5,5,3,2,1
822,6,6,5,4,4,2
823,5,5,5,3,3,2
824,6,6,5,3,2,2
825,11,5,6,4,2,1
826,5,8,4,4,3,1
827,7,8,5,4,2,2
828,7,6,5,3,2,1
829,9,5,5,4,3,3
830,8,6,5,3,2,2
831,7,6,5,3,2,1
832,6,6,6,3,3,1
833,5,5,7,3,3,1
834,8,5,5,4,3,1
835,8,6,5,3,2,2
836,5,5,5,3,2,2
837,5,5,4,3,2,1
838,6,6,6,3,3,2
839,6,6,5,3,2,1
840,5,5,5,3,3,3
841,7,6,5,3,2,1
842,5,5,5,3,3,2
843,6,6,5,4,2,2
844,7,7,5,3,2,2
845,8,6,5,3,4,1
846,7,6,6,4,3,2
847,6,6,5,3,2,1
848,5,5,5,3,3,2
849,6,6,5,3,2,2
850,7,6,5,4,3,2
851,7,5,4,3,2,2
852,6,11,6,3,3,3
853,5,7,4,4,2,1
854,6,6,6,3,2,1
855,5,5,5,3,3,2
856,5,5,5,3,2,1
857,6,6,6,3,2,2
858,5,5,5,4,3,1
859,7,6,5,3,2,2
860,5,5,5,3,2,2
861,6,5,5,4,2,2
862,8,7,5,3,3,1
863,7,6,4,4,3,1
864,7,6,6,3,2,2
865,5,5,4,4,3,1
866,6,6,5,3,2,2
867,6,5,5,3,2,0
868,6,7,5,3,3,1
869,6,6,5,3,3,2
870,5,5,5,3,2,1
871,6,6,6,3,2,2
872,5,5,5,3,3,1
873,9,6,5,4,2,3
874,9,5,5,3,2,1
875,6,6,5,3,3,1
876,6,5,5,3,2,1
877,7,6,5,3,2,1
878,6,6,7,3,5,3
879,6,6,5,4,3,1
880,5,5,5,3,3,2
881,5,8,5,3,2,1
882,7,6,5,3,3,3
883,8,5,5,3,2,1
884,6,6,5,3,2,2
885,6,6,6,3,3,1
886,5,5,4,4,2,1
887,6,6,6,3,3,2
888,6,6,5,4,2,2
889,5,5,5,3,2,1
890,6,7,5,3,2,2
891,5,6,5,3,3,2
892,6,6,6,4,2,1
893,6,5,5,3,4,2
894,6,6,5,3,2,1
895,8,6,6,3,2,2
896,8,5,4,3,3,2
897,6,6,5,4,4,2
898,5,5,5,3,3,2
899,6,6,8,3,3,1
900,5,5,5,3,2,1
901,5,5,5,4,2,2
902,6,6,5,3,2,2
903,6,6,5,3,3,1
904,6,5,5,3,2,2
905,6,6,5,3,3,1
906,6,5,5,3,5,1
907,7,6,5,4,3,1
908,6,6,5,3,2,2
909,5,5,4,3,3,1
910,7,6,5,4,2,2
911,6,6,5,3,3,0
912,6,6,5,3,3,1
913,9,5,5,3,3,3
914,7,6,6,3,4,1
915,5,5,5,4,2,2
916,6,6,5,3,2,2
917,9,6,5,3,4,1
918,5,5,5,4,2,1
919,5,5,5,3,2,1
920,9,6,5,3,3,2
921,6,8,5,4,2,1
922,6,10,5,3,3,2
923,6,6,5,3,2,1
924,7,6,5,3,2,2
925,8,5,5,3,3,1
926,6,7,5,3,2,2
927,5,5,5,4,2,2
928,6,6,5,3,4,2
929,6,6,5,3,2,2
930,8,6,5,3,3,1
931,7,5,5,4,2,2
932,9,6,5,3,3,2
933,6,6,6,3,2,1
934,5,5,5,3,2,3
935,7,6,5,3,3,1
936,6,6,5,4,2,2
937,7,5,5,3,3,2
938,7,6,6,3,2,0
939,5,5,4,4,2,2
940,5,5,5,4,3,2
941,6,6,6,3,3,2
942,5,5,5,3,2,2
943,8,7,5,3,3,1
944,6,6,5,3,2,3
945,6,6,5,3,2,1
946,5,5,5,3,3,2
947,6,6,5,4,2,1
948,6,8,6,3,2,2
949,6,6,5,3,2,1
950,6,6,5,3,3,1
951,5,5,5,4,2,2
952,8,6,5,3,3,3
953,5,5,5,3,3,1
954,6,6,4,4,2,2
955,5,5,6,3,3,2
956,6,7,5,3,2,2
957,8,7,5,3,2,2
958,6,9,5,3,3,2
959,9,5,5,4,3,2
960,6,6,5,3,2,0
961,6,6,5,3,3,2
962,5,6,5,3,2,2
963,6,6,5,3,3,2
964,5,5,5,3,3,1
965,6,6,5,3,3,2
966,5,5,5,3,2,2
967,7,6,5,3,3,2
968,6,7,5,4,2,1
969,6,7,6,3,3,2
970,6,6,4,3,2,2
971,6,6,5,3,2,1
972,5,5,4,3,3,2
973,6,6,5,3,2,2
974,7,5,6,3,3,1
975,7,7,5,4,2,2
976,6,8,4,3,3,1
977,7,6,5,3,3,2
978,8,6,5,3,3,2
979,5,5,5,3,3,2
980,6,6,5,3,3,2
981,5,5,5,4,2,2
982,7,6,5,3,2,2
983,7,7,5,3,3,3
984,7,5,5,3,3,2
985,6,6,5,4,2,0
986,7,5,5,3,3,2
987,6,6,5,3,2,2
988,6,6,5,3,3,2
989,7,6,6,3,2,1
990,5,5,5,4,2,1
991,6,7,5,3,3,3
992,5,5,5,3,3,2
993,6,6,5,4,3,3
994,5,5,5,3,2,1
995,6,6,5,3,2,3
996,6,6,5,3,3,2
